week_end,btc_close,btc_ret_1w,btc_vol_1w,btc_volume_1w,etf_net_1w,etf_cum,etf_mom_4w,etf_net_ibit,etf_net_fbtc,etf_net_arkb,etf_net_bitb,etf_net_gbtc,etf_net_hodl,etf_net_btco,etf_net_ezbc,etf_net_brrr,etf_net_btcw,etf_days_pos,opt_oi_total,opt_pcr_oi,opt_pcr_vol,opt_gex_net,opt_gamma_flip,opt_skew_25d_30d,opt_maxpain_front,opt_dvol,opt_term_slope,avail_date_etf,quality_flags
2024-01-05,44145.11,,0.24599050103651227,269628.57398,,,,,,,,,,,,,,,,,,,,,,,,NaT,
2024-01-12,42782.73,-0.030861402316134212,0.3114077957421396,447310.833,858.3,858.3,858.3,497.7,422.3,105.1,255.3,-579.2,10.6,45.8,50.1,49.599999999999994,1.0,2.0,,,,,,,,,,2024-01-15,
2024-01-19,41659.03,-0.026265271056802653,0.14645606495015748,275178.99838,318.1,1176.4,588.2,931.0999999999999,860.3000000000001,277.0,195.20000000000002,-2227.7,28.599999999999998,211.7,1.2,36.2,4.5,2.0,,,,,,,,,,2024-01-22,
2024-01-26,41823.51,0.003948243634093407,0.20058388083845785,258737.90496,-416.8,759.6000000000001,253.19999999999996,744.7,643.1999999999999,214.2,137.9,-2234.3,15.9,25.5,8.2,27.099999999999998,0.8,1.0,,,,,,,,,,2024-01-29,
2024-02-02,43200.0,0.032911871815636706,0.09675292224248977,217455.73028,818.5,1578.1000000000001,394.525,883.5,674.1,87.30000000000001,75.4,-926.6999999999999,4.8,10.8,5.0,0.6,3.7,5.0,,,,,,,,,,2024-02-05,
2024-02-09,47132.77,0.09103634259259241,0.13088140443537613,236579.61986,1194.2,2772.3,478.5,693.5,522.5,234.8,122.30000000000001,-414.8,15.400000000000002,4.600000000000001,6.5,4.5,4.9,5.0,,,,,,,,,,2024-02-12,
2024-02-16,52124.11,0.10589956838946679,0.12092734112290134,317957.35958,2277.1,5049.4,968.25,1614.4,648.5,410.4,232.1,-624.0,14.3,-56.0,12.0,17.4,8.0,5.0,,,,,,,,,,2024-02-19,
2024-02-23,50744.15,-0.026474504792503906,0.0660720452380067,235750.21902000002,583.9,5633.299999999999,1218.425,543.4,335.6,79.3,31.0,-436.20000000000005,17.5,1.0,4.5,1.2,6.6000000000000005,3.0,,,,,,,,,,2024-02-26,
2024-03-01,62387.9,0.2294599475998711,0.26309446203933856,398660.24090000003,1722.8999999999999,7356.199999999999,1444.525,2050.5,708.6,224.8,129.5,-1455.6999999999998,17.7,5.5,35.3,0.0,6.7,4.0,,,,,,,,,,2024-03-04,
2024-03-08,68124.19,0.09194555354483813,0.3208945240993091,478122.261622,2238.5,9594.699999999999,1705.6,2070.6,1339.6,187.0,172.60000000000002,-1654.4,7.5,-44.5,25.2,127.6,7.299999999999999,5.0,,,,,,,,,,2024-03-11,
2024-03-15,69499.85,0.020193414409771293,0.18244545493025044,430105.31405,2565.6000000000004,12160.3,1777.725,2483.6,717.9,154.1,100.5,-1246.1000000000001,247.8,-29.4,25.1,97.7,14.399999999999999,5.0,,,,,,,,,,2024-03-18,
2024-03-22,63796.64,-0.0820607526491065,0.4465097467936549,457626.01915,-887.6,11272.699999999999,1409.8500000000001,828.3,79.4,33.4,67.0,-2001.3,16.8,-1.4999999999999991,52.400000000000006,37.9,0.0,0.0,,,,,,,,,,2024-03-25,
2024-03-29,69850.54,0.09489371227074028,0.17026244384538008,260174.89604,859.7,12132.4,1194.0500000000002,616.6,610.5,301.9,97.7,-967.1,41.7,53.9,50.8,52.199999999999996,1.5,4.0,,,,,,,,,,2024-04-01,
2024-04-05,67820.62,-0.029060906329428482,0.23574518554964655,265599.03711000003,483.70000000000005,12616.1,755.3500000000001,811.2,395.1,-75.8,47.0,-737.8,23.1,6.9,3.8,7.1,3.1,4.0,,,,,,,,,,2024-04-08,
2024-04-12,67116.52,-0.010381798338027437,0.20498029092506512,256682.95419,-83.30000000000001,12532.800000000001,93.12500000000001,486.5,90.19999999999999,16.6,79.5,-766.8,0.0,0.0,0.0,8.4,2.3,2.0,,,,,,,,,,2024-04-15,
2024-04-19,63818.01,-0.049146022469579775,0.24377711256970544,402805.67935,-204.29999999999998,12328.500000000002,263.95000000000005,165.4,93.6,-33.6,10.400000000000002,-458.4,9.0,3.9,3.7,1.7,0.0,1.0,,,,,,,,,,2024-04-22,
2024-04-26,63770.01,-0.0007521387771257659,0.14271960102591263,188474.09823,-328.0,12000.500000000002,-32.974999999999994,57.6,19.399999999999995,34.199999999999996,15.599999999999998,-454.1,5.6,2.4000000000000004,11.5,-20.2,0.0,2.0,,,,,,,,,,2024-04-29,
2024-05-03,62882.01,-0.013925040940090838,0.26932496880638845,293358.83466,-433.00000000000006,11567.500000000002,-262.15000000000003,-24.2,-130.7,-84.39999999999999,-23.0,-277.2,2.1999999999999993,26.900000000000002,52.7,30.900000000000002,-6.2,1.0,,,,,,,,,,2024-05-06,
2024-05-10,60799.99,-0.0331099467081285,0.16261106069389814,196480.49371,116.8,11684.300000000001,-212.12500000000003,48.1,111.3,82.8,20.4,-171.1,1.8,19.3,3.6,0.0,0.6,2.0,,,,,,,,,,2024-05-13,
2024-05-17,67024.0,0.10236860236325707,0.22784065104578247,188908.1889,948.3,12632.6,76.02499999999998,131.8,344.5,243.7,128.79999999999998,12.300000000000004,25.8,22.0,7.5,29.799999999999997,2.1,5.0,,,,,,,,,,2024-05-20,
2024-05-24,68549.99,0.022767814514203844,0.23885428162524996,229172.88717,1056.7,13689.300000000001,422.2,719.5,227.2,77.89999999999999,26.2,-20.5,19.2,2.0,0.0,0.0,5.2,5.0,,,,,,,,,,2024-05-27,
2024-05-31,67540.01,-0.014733481361558387,0.09264431461968038,158090.78167,170.89999999999998,13860.2,573.1750000000001,297.79999999999995,177.0,-91.80000000000001,40.2,-260.6,-1.9,6.5,0.0,1.2,2.5,4.0,,,,,,,,,,2024-06-03,
2024-06-07,69355.6,0.026881695753376622,0.10482108203893195,169660.78126999998,1828.5,15688.7,1001.1,948.0,679.4,131.1,82.8,-31.1,12.0,3.6,0.0,1.6,1.1,5.0,,,,,,,,,,2024-06-10,
2024-06-14,66043.99,-0.04774827122827863,0.11579783426079418,172886.14929,-580.6,15108.1,618.8750000000001,41.6,-146.3,-149.7,-6.5,-274.3,-3.500000000000001,-26.1,0.0,-15.8,0.0,1.0,,,,,,,,,,2024-06-17,
2024-06-21,64143.56,-0.028775214822726602,0.06481244094787603,160900.24609,-544.1,14564.0,218.675,1.5,-271.0,-78.8,-35.6,-152.6,-7.5,-2.0,1.9,0.0,0.0,0.0,,,,,,,,,,2024-06-24,
2024-06-28,60427.84,-0.05792818484037998,0.17354921265336354,164535.15113,-37.3,14526.7,166.62500000000003,82.4,13.899999999999995,26.299999999999997,15.0,-155.0,-3.2999999999999994,0.7000000000000002,-17.299999999999997,0.0,0.0,4.0,,,,,,,,,,2024-07-01,
2024-07-05,56628.79,-0.06286920068630608,0.19571500878249753,240033.21612,238.39999999999998,14765.1,-230.90000000000003,14.1,194.3,26.5,64.8,-88.0,21.700000000000003,3.2,1.8,0.0,0.0,2.0,,,,,,,,,,2024-07-08,
2024-07-12,57889.1,0.02225564063791574,0.17112718316527595,194957.91978,1047.6,15812.7,176.14999999999995,522.5,358.1,74.69999999999999,46.9,-35.3,14.799999999999999,13.5,31.7,20.7,0.0,5.0,,,,,,,,,,2024-07-15,
2024-07-19,66660.0,0.15151211540687282,0.19085137085782808,205528.57104,1241.1,17053.8,622.4499999999999,706.7,243.8,143.0,71.1,-56.099999999999994,69.2,34.8,17.0,9.8,1.8,5.0,,,,,,,,,,2024-07-22,
2024-07-26,67907.99,0.018721722172217348,0.13166176986020933,171516.58478,535.3,17589.1,765.5999999999999,758.5,29.6,-49.0,-86.6,-119.6,-19.2,13.7,7.9,0.0,0.0,4.0,,,,,,,,,,2024-07-29,
2024-08-02,61498.33,-0.09438742039044301,0.17579156796341894,199166.60085,-80.70000000000002,17508.399999999998,685.8249999999999,370.2,-192.89999999999998,-122.6,-77.1,-245.1,-32.2,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,2024-08-05,
2024-08-09,60837.99,-0.010737527344238496,0.4348404068105924,401192.99082,-167.0,17341.399999999998,382.17499999999995,219.7,-77.1,-65.1,-12.200000000000001,-391.8,6.4,0.0,-23.0,0.0,129.0,2.0,,,,,,,,,,2024-08-12,
2024-08-16,58874.6,-0.03227243372110089,0.1787958651406249,187773.71019,32.39999999999999,17373.8,79.99999999999999,71.1,82.1,35.9,11.799999999999999,-195.2,0.0,0.0,5.1,0.0,0.0,4.0,,,,,,,,,,2024-08-19,
2024-08-23,64037.24,0.08768874862844078,0.20126684638736925,162986.26344,506.4,17880.2,72.77499999999999,318.8,87.8,83.5,8.599999999999994,-86.6,17.8,-3.1000000000000005,3.5,2.3,4.8,5.0,,,,,,,,,,2024-08-26,
2024-08-30,59123.99,-0.07672488695640223,0.15542672808787045,175177.4026,-277.2,17603.0,23.64999999999999,210.6,-62.7,-221.0,-56.6,-119.2,-17.299999999999997,-11.1,5.5,-1.7,5.1,1.0,,,,,,,,,,2024-09-02,
2024-09-06,53962.97,-0.087291470010735,0.1885440594006655,193042.26934,-706.1,16896.9,-111.125,0.0,-404.9,-40.800000000000004,-59.8,-160.7,-8.2,-2.3,-8.4,-7.1,0.0,0.0,,,,,,,,,,2024-09-09,
2024-09-13,60498.0,0.12110211873067778,0.12271416744975397,182905.70137,403.9,17300.800000000003,-18.250000000000014,-9.1,218.0,83.1,67.3,-27.2,10.0,5.7,8.6,1.7,0.0,4.0,,,,,,,,,,2024-09-16,
2024-09-20,63201.05,0.044679989421138044,0.14563916051182751,181375.58431,397.20000000000005,17698.000000000004,-45.55000000000001,15.8,137.7,101.9,67.0,-28.9,32.5,13.299999999999999,21.1,5.2,3.2,4.0,,,,,,,,,,2024-09-23,
2024-09-27,65769.95,0.04064647660125886,0.10996224291213451,138115.86794,1106.5,18804.500000000004,300.375,499.0,206.1,269.5,82.8,-21.799999999999997,33.3,9.8,5.7,7.8999999999999995,0.0,5.0,,,,,,,,,,2024-09-30,
2024-10-04,62086.0,-0.056012662317669326,0.15906604748938624,170198.33871,-301.59999999999997,18502.900000000005,401.5,135.3,-138.89999999999998,-206.79999999999998,-36.00000000000001,-47.1,-10.5,2.4,0.0,0.0,0.0,2.0,,,,,,,,,,2024-10-07,
2024-10-11,62540.0,0.007312437586573406,0.1372895537971342,130003.16583,308.79999999999995,18811.700000000004,377.725,140.6,138.2,35.39999999999999,35.699999999999996,-50.0,19.700000000000003,10.4,0.0,0.0,0.0,2.0,,,,,,,,,,2024-10-14,
2024-10-18,68428.0,0.09414774544291649,0.1311576982241816,188166.54661,2129.6,20941.300000000003,810.825,1141.1,318.8,306.1,149.8,91.5,47.9,27.400000000000002,21.4,4.699999999999999,2.8,5.0,,,,,,,,,,2024-10-21,
2024-10-25,66698.33,-0.025277225697083017,0.12220965439398677,159209.31639,997.6,21938.9,783.5999999999999,1147.0,71.6,-206.39999999999998,-15.2,-11.899999999999999,1.9000000000000021,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,2024-10-28,
2024-11-01,69496.01,0.04194527809017101,0.16843430326924114,194211.42523,2220.2,24159.100000000002,1414.0499999999997,2148.9,89.79999999999998,-38.90000000000001,-12.299999999999988,-53.900000000000006,0.7999999999999989,7.2,0.0,6.3,0.0,4.0,,,,,,,,,,2024-11-04,
2024-11-08,76509.78,0.10092334797350233,0.2436280348975842,284190.352325,1631.1999999999998,25790.300000000003,1744.6499999999996,1251.1,295.4,-6.20000000000001,76.80000000000001,-25.500000000000004,15.3,0.0,-5.800000000000001,-9.600000000000001,0.0,3.0,,,,,,,,,,2024-11-11,
2024-11-15,91032.07,0.18980959035563827,0.3118249557156355,449817.048939,1671.0,27461.300000000003,1630.0,1892.1,4.099999999999994,-152.6,-66.30000000000001,-85.69999999999999,10.0,8.7,10.1,-1.7,0.0,3.0,,,,,,,,,,2024-11-18,
2024-11-22,98892.0,0.0863424285529264,0.12484550014346432,294411.382712,3353.1,30814.4,2218.875,2053.5,772.7,301.5,154.39999999999998,-52.89999999999999,26.8,5.0,5.7,6.2,0.0,5.0,,,,,,,,,,2024-11-25,
2024-11-29,97460.0,-0.014480443311895796,0.20742401720475415,262334.75761000003,-135.10000000000002,30679.300000000003,1630.05,405.3,-83.69999999999999,-103.10000000000001,-199.7,-194.29999999999998,25.0,-13.2,2.8,0.0,0.0,2.0,,,,,,,,,,2024-12-02,
2024-12-06,99740.84,0.02340283193104864,0.13754530255634276,304050.230262,2729.7,33409.0,1904.6750000000002,2630.8,262.3,-39.099999999999994,4.0,-303.5,5.299999999999999,0.0,5.6,0.0,0.0,5.0,,,,,,,,,,2024-12-09,
2024-12-13,101424.25,0.016877840611729367,0.18830036419279464,224092.65765,2167.1,35576.1,2028.7,1514.3000000000002,598.4,61.60000000000001,67.80000000000001,-221.29999999999998,6.1,-11.6,0.0,-2.4,9.6,5.0,,,,,,,,,,2024-12-16,
2024-12-20,97805.44,-0.035679928616676904,0.20824046598385332,275127.495491,457.20000000000005,36033.299999999996,1304.725,1446.5,-292.5,-171.3,-53.9,-248.3,-7.9,-51.2,5.6,0.0,2.0,3.0,,,,,,,,,,2024-12-23,
2024-12-27,94299.03,-0.03585086882692823,0.17540494217010044,161490.16036,-377.59999999999997,35655.7,1244.1000000000001,-21.099999999999994,-183.0,-16.39999999999999,-59.5,-58.9,0.10000000000000009,-39.8,0.0,0.0,0.0,1.0,,,,,,,,,,2024-12-30,
2025-01-03,98174.18,0.041094272125598685,0.10265177668923069,116791.00004,256.0,35911.7,625.675,-139.50000000000003,275.4,201.5,86.7,-167.2,11.1,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,2025-01-06,
2025-01-10,94726.11,-0.03512196384018684,0.22355096901276003,174141.38289,312.80000000000007,36224.5,162.10000000000002,497.6,41.79999999999999,-202.3,-55.49999999999999,-47.00000000000001,17.3,-9.4,-4.899999999999999,0.0,0.0,2.0,,,,,,,,,,2025-01-13,
2025-01-17,104077.48,0.09872008889629269,0.14466985638339336,183635.65016,1960.1000000000001,38184.6,537.825,745.6999999999999,680.2,301.90000000000003,216.0,-87.7,40.1,10.8,2.9,0.0,14.7,3.0,,,,,,,,,,2025-01-20,
2025-01-24,104870.5,0.007619515768444884,0.16377670475947076,302986.417732,1757.7,39942.299999999996,1071.65,1316.5,202.29999999999998,172.6,-18.6,-97.8,0.0,12.4,6.2,0.0,2.8,4.0,,,,,,,,,,2025-01-27,
2025-01-31,102429.56,-0.023275754382786396,0.1159716489721082,156173.64257,559.5,40501.799999999996,1147.525,750.9000000000001,-41.30000000000004,-13.600000000000001,-125.6,-139.1,6.1,5.2,6.1,0.0,0.0,4.0,,,,,,,,,,2025-02-03,
2025-02-07,96506.8,-0.057822761320072025,0.1725330724462154,243885.91147000002,203.8,40705.6,1120.275,315.3,-217.7,64.4,21.1,-14.700000000000003,13.200000000000001,0.0,5.6,0.0,11.4,3.0,,,,,,,,,,2025-02-10,
2025-02-14,97500.48,0.010296476517716924,0.09752973681480182,130734.7671,-585.6,40120.0,483.85,105.6,-282.2,-162.9,-42.9,-107.1,-10.9,-58.0,-39.2,-3.7,-7.1,1.0,,,,,,,,,,2025-02-17,
2025-02-21,96181.98,-0.013523010348256759,0.09681983915888545,121146.22425,-559.6,39560.4,-95.475,-21.999999999999993,-165.5,-107.0,-105.2,-93.6,4.1000000000000005,0.0,0.0,-9.3,0.0,0.0,,,,,,,,,,2025-02-24,
2025-02-28,84349.94,-0.12301722214493815,0.18061331373915065,315083.27848,-2619.0,36941.4,-890.1,-1174.7,-568.7,-15.600000000000023,-90.0,-188.89999999999998,-35.6,-93.8,-91.0,-117.7,-95.1,1.0,,,,,,,,,,2025-03-03,
2025-03-07,86801.75,0.029067122039446502,0.4100861063641717,326041.17211,-799.6,36141.8,-1140.95,-129.6,-201.0,-163.5,-49.5,-125.4,-7.6,-26.4,-53.7,-60.4,-18.3,0.0,,,,,,,,,,2025-03-10,
2025-03-14,83983.2,-0.03247111953388038,0.2955111241099269,221846.86424,-857.6,35284.200000000004,-1208.95,-338.1,-307.4,31.999999999999986,-3.8999999999999986,-80.6,4.2,-41.5,-54.300000000000004,-40.099999999999994,-33.4,2.0,,,,,,,,,,2025-03-17,
2025-03-21,84088.79,0.0012572752645767515,0.1935063134618949,125944.83372,744.3,36028.50000000001,-882.9750000000001,537.5,136.5,79.5,-3.0,-24.5,11.9,-10.2,-7.3,0.0,0.0,5.0,,,,,,,,,,2025-03-24,
2025-03-28,84424.38,0.003990900570694622,0.13443099279089682,129330.62836999999,182.89999999999998,36211.40000000001,-182.50000000000003,172.0,86.8,-41.0,-9.200000000000001,0.0,5.0,-7.0,0.0,-13.5,-10.2,4.0,,,,,,,,,,2025-03-31,
